,h,test,loss
70,3,10,0.09820441901683807
71,3,11,0.09725109487771988
72,3,12,0.09891942888498306
73,3,13,0.0968552678823471
74,3,14,0.097411148250103
75,3,15,0.09768778085708618
76,3,16,0.02708100900053978
77,3,17,0.0007196775986813009
78,3,18,0.09701532870531082
79,3,19,0.08404050022363663
80,3,20,0.05365148186683655
81,3,21,0.08558222651481628
82,3,22,0.09709366410970688
83,3,23,0.0016516668256372213
84,3,24,0.08341071009635925
85,3,25,0.05936991423368454
86,3,26,0.09850769490003586
87,3,27,0.0006215377361513674
88,3,28,0.08292030543088913
89,3,29,0.06135670468211174
90,3,30,0.09845529496669769
91,3,31,0.06893304735422134
92,3,32,0.0867452472448349
93,3,33,0.06078887730836868
94,3,34,0.011404366232454777
95,3,35,0.0003616848262026906
96,3,36,0.1961548626422882
97,3,37,0.08339842408895493
98,3,38,0.09030593931674957
99,3,39,0.09747744351625443
100,3,40,0.09759281575679779
101,3,41,0.05535580590367317
102,3,42,0.08329285681247711
103,3,43,0.0822732225060463
104,3,44,0.09700784087181091
105,3,45,0.06115470454096794
106,3,46,0.09717258810997009
107,3,47,0.09691888093948364
108,3,48,0.09764371812343597
109,3,49,0.09767718613147736
110,3,50,0.08532324433326721
111,3,51,0.06074051558971405
112,3,52,0.0015988665400072932
113,3,53,0.09805791079998016
114,3,54,0.09773232042789459
115,3,55,0.09756755828857422
116,3,56,0.0971769243478775
117,3,57,0.09810510277748108
118,3,58,0.06594914942979813
119,3,59,0.0012597820023074746
120,4,0,0.09762292355298996
121,4,1,0.0008216230198740959
122,4,2,0.0006852459628134966
123,4,3,0.00035942799877375364
124,4,4,0.09792143106460571
125,4,5,0.09762603789567947
126,4,6,0.08369959890842438
127,4,7,0.09721385687589645
128,4,8,0.0007532186573371291
129,4,9,0.0978197306394577
130,4,10,0.08338429778814316
131,4,11,0.09796284884214401
132,4,12,0.06111860275268555
133,4,13,0.09836186468601227
134,4,14,0.0005965420277789235
135,4,15,0.09126780927181244
136,4,16,0.08335866779088974
137,4,17,0.08335171639919281
138,4,18,0.0841335877776146
139,4,19,0.08452948927879333
140,4,20,0.09755377471446991
141,4,21,0.08408874273300171
142,4,22,0.08398638665676117
143,4,23,0.09757968783378601
144,4,24,0.08383241295814514
145,4,25,0.08783669024705887
146,4,26,0.0006583456415683031
147,4,27,0.0834648460149765
148,4,28,0.08390695601701736
149,4,29,0.09854508191347122
150,4,30,0.09735452383756638
151,4,31,0.062583327293396
152,4,32,0.08350542932748795
153,4,33,0.0838569775223732
154,4,34,0.09804137051105499
155,4,35,0.08354782313108444
156,4,36,0.00038021872751414776
157,4,37,0.029114052653312683
158,4,38,0.061855826526880264
159,4,39,0.012385278940200806
160,4,40,0.098584845662117
161,4,41,0.0006260756053961813
162,4,42,0.0006811210187152028
163,4,43,0.08391285687685013
164,4,44,0.08363260328769684
165,4,45,0.09771725535392761
166,4,46,0.00022838328732177615
167,4,47,0.0008047817973420024
168,4,48,0.0006605335511267185
169,4,49,0.0973200798034668
170,4,50,0.0006517992587760091
171,4,51,0.0007389724487438798
172,4,52,0.0007507653208449483
173,4,53,0.09869197010993958
174,4,54,0.06110774725675583
175,4,55,0.09715691953897476
176,4,56,0.0004299887514207512
177,4,57,0.0022941261995583773
178,4,58,0.09791986644268036
179,4,59,0.0986609235405922
180,5,0,0.0008741803467273712
181,5,1,0.0839368924498558
182,5,2,0.0006523351185023785
183,5,3,0.0005326121463440359
184,5,4,0.00033697570324875414
185,5,5,0.0008341073989868164
186,5,6,0.061470892280340195
187,5,7,0.09717453271150589
188,5,8,0.05067351460456848
189,5,9,0.08415232598781586
190,5,10,0.0007340479642152786
191,5,11,0.0978609174489975
192,5,12,0.0016351512167602777
193,5,13,0.08374907821416855
194,5,14,0.08279787003993988
195,5,15,0.006243204232305288
196,5,16,0.08320946246385574
197,5,17,0.08309490978717804
198,5,18,0.08358954638242722
